product_id,product_name,category,price,stock
P101,Wireless Mouse,Electronics,1200,50
P102,Mechanical Keyboard,Electronics,3500,30
P103,Laptop Stand,Accessories,1800,40
P104,Office Chair,Furniture,7000,15
P105,Water Bottle,Accessories,600,100
P106,Monitor 24 inch,Electronics,12000,20
P107,Study Table,Furniture,9500,10
P108,USB Cable,Electronics,300,200
P109,Notebook,Stationery,80,500
P110,Pen Set,Stationery,250,150
P111,Bluetooth Speaker,Electronics,4500,25
P112,Desk Lamp,Furniture,2200,35
P113,Headphones,Electronics,2800,45
P114,Backpack,Accessories,1500,60
P115,Smart Watch,Electronics,8000,18
P116,Webcam,Electronics,2200,40
P117,Gaming Chair,Furniture,15000,8
P118,Power Bank,Electronics,1800,75
P119,Marker Set,Stationery,400,120
P120,Coffee Mug,Accessories,350,90
P121,LED TV,Furniture,30000,12
P122,Printer,Electronics,8500,14
P123,Tablet Stand,Accessories,900,55
P124,Diary,Stationery,150,300
P125,External HDD,Electronics,6500,22
